무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직3동 할아버지경로당,35.2002055,129.07387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직3동 할머니경로당,35.2002055,129.07387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직2차쌍용예가경로당,35.2016048,129.0573307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직한신경로당,35.2043643,129.0544015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매안경로당,35.7303513,128.1108171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하매경로당,35.7289655,128.1159996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야동마을경로당,35.7279666,128.1044941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영전경로당,35.7276465,128.0970013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매안2구경로당,35.7309699,128.103397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율암1리 경로당,37.1586782,126.8859297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
율암2리 경로당,37.1718026,126.8702316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지월리경로당,37.1451233,126.8895054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진우아파트경로당,37.160354,126.9309056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직1동 주민센터,35.2017362,129.062757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉명경로당,35.848021,128.5955621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEB하나은행 봉덕동지점,35.8461015,128.5908121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야천3구경로당,35.771204,128.1297831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매화2구경로당,35.7349342,128.1242376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화성시서부종합사회복지관,37.2130067,126.7320111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고정1리 경로당,37.2422711,126.7419349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고정2리 경로당,37.2457,126.7485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고정4리 경로당,37.2383703,126.7403206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고포1리 경로당,37.2406747,126.6700682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고포2리 경로당,37.23908,126.6837893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원경로당,35.2041525,129.0738238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안나 경로당,35.2004841,129.1031359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안락1동 주민센터,35.1996815,129.0993844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서원경로당,35.2042592,129.0990764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안락할아버지경로당,35.2032985,129.1034254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안락할머니경로당,35.2032985,129.1034254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
락천경로당,35.1979272,129.099304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해인경로당,35.792261,128.085825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치인2구경로당,35.7912661,128.0620592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숭산경로당,35.7316928,128.1085439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개명마을회관,34.7793408,127.2745074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
축동마을복지회관,34.7741577,127.2617921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월등마을회관,34.7799078,127.2593218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장선마을회관,34.7577358,127.2458276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기마을회관,34.7410967,127.264756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥전경로당,34.528759,126.736029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장월마을회관,34.788656,127.3559519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해창1리 경로당,37.1092216,126.8816141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코스코밸리아파트 경로당(육일3리),37.1978561,126.7249542,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지화2리 경로당,37.211587,126.6763697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브라운스톤2차 경로당,37.4720501,126.8642266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사직3동 주민센터,35.2022326,129.0702553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창곡1리 경로당,37.1898348,126.8856185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창곡2리 경로당,37.1856681,126.8871438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창곡3리 경로당,37.1787624,126.8925492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하저리 1.2경로당,37.1895739,126.8704287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검단동 행정복지센터,35.9105768,128.6206893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월하경로당,34.530897,126.717981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신리경로당,34.547346,126.720354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성자경로당,34.557352,126.729833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석천경로당,34.554491,126.725224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용소1리 경로당,37.0797535,126.9845493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정문1리 경로당,37.0934037,126.9885743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정문2리 경로당,37.0947935,126.986711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
본말2리 경로당,35.64329,128.507759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을할머니 경로당,37.4538119,126.8893247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호어울림 경로당,37.4514431,126.8896968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌휴먼시아2단지 경로당,37.447402,126.8936783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼익아파트 경로당,37.452664,126.8883574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동양1차 경로당,37.4555029,126.8865915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요당1리 경로당,37.0704245,126.9359477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송산3리 경로당,37.1217197,126.994263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송산4리 경로당,37.1082325,126.9881746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양감 학구단 경로당,37.0807587,126.9458692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여명할머니경로당,35.2012124,129.0733788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여명할아버지경로당,35.2012124,129.0733788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남부경로당,35.8437271,128.6014018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고산골경로당,35.8314407,128.6036304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉덕3동행정복지센터,35.842441,128.5959356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉삼경로당,35.8360429,128.5945133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대덕2차아파트경로당,35.8346356,128.5964982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대명1동행정복지센터,35.8416704,128.57356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGB대구은행 대덕지점,35.8400179,128.5787472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대명1동경로당,35.8405429,128.5769561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여고할아버지경로당,33.054786,129.054545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여고할머니경로당,33.211221,129.054873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대덕경로당,35.8507689,128.582691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대명3동행정복지센터,35.8523043,128.5792456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장안8리 경로당,37.0375476,126.8458203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개운아파트 경로당,37.4376544,126.8773461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영선경로당,35.8527903,128.5935477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용암경로당,34.533132,126.755472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신기경로당,34.529573,126.75388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
내서읍경로당,35.2512378,128.5113993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안성경로당,35.2651497,128.5512341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼계(남)경로당,35.2313403,128.500235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼계(여)경로당,35.2313403,128.500235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신목경로당,35.1919681,128.4963225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회원1동경로당,35.2183793,128.5727384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중리(남)경로당,35.252132,128.5113851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감천(남)경로당,35.205803,128.516324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원맨션 경로당,35.1636108,129.0339554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후전경로당,35.062863,127.957112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사동경로당,35.055564,127.956619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구미경로당,35.2529829,128.5214386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호계할머니경로당,35.2661198,128.5196799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남문경로당,35.05528,127.959008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥곡경로당,35.057574,127.964172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
풍화각,37.2150026,126.7358083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉황경로당,34.556938,126.698274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신동경로당,35.3321469,128.6061802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중리경로당,35.3437939,128.5923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현천경로당,35.347368,128.5839347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
묵지경로당,35.1597504,128.5294937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용정2구 경로당,35.2771041,128.7065107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용정3구 경로당,35.276953,128.704899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무성1구남자경로당,35.28938,128.6996971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산경로당,35.141706,128.505942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감나무골경로당,35.1934966,128.5108427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석동그린빌4단지 경로당,35.1550399,128.7032119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고성동 행정복지센터,35.8811338,128.5819039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석동그린빌2단지 경로당,35.155601,128.7090448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석동그린빌3단지 경로당,35.1545751,128.7048897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산격1동 행정복지센터,35.8928127,128.5950372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산격2동 행정복지센터,35.9006162,128.6148312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
침산3동 행정복지센터,35.8920196,128.5893258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노원동 행정복지센터,35.8901681,128.5762308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈론경로당,36.793,127.8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외사경로당,36.7895,127.8719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호어울림경로당(일람8리),36.8249613,126.4439153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안동마을회관,34.568393,127.347856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중원2리 경로당,37.5430762,127.6169917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포리경로당 앞 정자,36.7232402,128.5283246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정촌올리움아파트경로당,35.1231599,128.0990383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서생경로당,35.384251,129.3396551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
